rank,profile_id,rating,name,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match,last_match_time
98,208217,1963,Scogo,1963.0,1,-3.0,15.0,106,72,34,1,1594327639,1594327639
99,599657,1962,tushen,1964.0,1,-6.0,11.0,606,333,273,13,1594036328,1594036328
100,1200049,1961,Mr.Bean/FB.,1995.0,5,-8.0,13.0,575,312,263,13,1594673347,1594673347
101,582058,1957,[aM] Hearttt,1964.0,-1,-5.0,9.0,106,76,30,1,1594617420,1594617420
102,1407942,1954,Dark,2123.0,-1,-11.0,9.0,680,353,327,9,1594679332,1594679332
103,2815388,1951,www.twitch.tv/mahyaoc,1951.0,2,-4.0,16.0,155,100,55,2,1594685268,1594685268
104,788320,1947,GLX_Rusher,1947.0,6,-6.0,8.0,555,294,261,9,1594650944,1594650944
105,2521572,1946,Mahyaoc I  Twitch.tv,1946.0,2,-8.0,12.0,403,221,182,34,1594522980,1594522980
106,197930,1944,T90Official,1944.0,1,-6.0,10.0,413,240,173,2,1594681228,1594681228
107,2855233,1944,DontWorryBeHappy,1951.0,2,-4.0,20.0,111,75,36,0,1593975025,1593975025
108,219739,1944,_Pela_,1974.0,-2,-7.0,11.0,764,416,348,7,1594638930,1594638930
109,1264695,1943,Wisepii,2011.0,-4,-5.0,8.0,301,163,138,3,1594686840,1594686840
110,1251651,1940,Angelsinting,1969.0,1,-8.0,13.0,614,338,276,3,1593954672,1593954672
111,267698,1937,_Tea,1937.0,3,-7.0,7.0,293,175,118,5,1594685680,1594685680
112,726223,1936,z40305125,1957.0,-1,-7.0,11.0,558,314,244,3,1594635966,1594635966
113,2598137,1936,nobody,1998.0,-2,-2.0,28.0,65,55,10,0,1593062435,1593062435
114,369536,1936,sval7865,2082.0,1,-6.0,8.0,848,460,388,12,1594666567,1594666567
115,1895882,1935,Lukas,1964.0,2,-8.0,16.0,480,257,223,6,1594569887,1594569887
116,182749,1931,The_Dragonstar,1931.0,3,-7.0,8.0,456,257,199,24,1594326903,1594326903
117,2796405,1931,darwin,1931.0,2,-4.0,15.0,116,77,39,0,1594559060,1594559060
118,268565,1930,RoR | Luca8761,2057.0,-1,-10.0,9.0,736,378,358,7,1594147511,1594147511
119,1788064,1928,我在时间尽头等你,1985.0,3,-6.0,17.0,479,267,212,1,1593350127,1593350127
120,1316287,1928,:(,1946.0,-1,-4.0,12.0,117,80,37,0,1594660210,1594660210
121,1696082,1927,dreamer,1968.0,-3,-5.0,19.0,270,163,107,8,1594368933,1594368933
122,208493,1926,Heresy | _Feanor_,1999.0,-2,-7.0,7.0,309,180,129,8,1594641756,1594641756
123,316555,1925,neromelnick,1925.0,4,-8.0,5.0,264,137,127,0,1594623197,1594623197
124,951203,1922,HaroldTheDuck,1944.0,2,-5.0,19.0,123,84,39,0,1593389960,1593389960
125,801470,1922,农家土蜂蜜QQ361213983,1981.0,1,-7.0,10.0,896,475,421,14,1594644591,1594644591
126,541127,1921,RmcooTheClown_,1968.0,-4,-9.0,10.0,633,337,296,2,1594196358,1594196358
127,226697,1920,DemonSheep,2007.0,-1,-9.0,12.0,896,493,403,10,1594644591,1594644591
128,985308,1918,Waiting For Players,1970.0,1,-6.0,14.0,354,198,156,3,1594670892,1594670892
129,200073,1917,nC_Andorin,1978.0,2,-7.0,7.0,308,173,135,14,1594304296,1594304296
130,2354416,1917,koreanz,1982.0,-1,-3.0,20.0,73,58,15,1,1592303176,1592303176
131,1195260,1916,Kellar,2012.0,2,-7.0,15.0,470,262,208,6,1594681064,1594681064
132,2792305,1915,Kiki,2031.0,5,-6.0,13.0,530,293,237,4,1594690148,1594690148
133,247224,1913,Survivalist,1917.0,2,-10.0,11.0,1663,870,793,7,1594688792,1594688792
134,209899,1910,ChriSt,1910.0,14,-8.0,14.0,605,330,275,5,1594043407,1594043407
135,215963,1910,fatman,1916.0,-1,-6.0,11.0,392,223,169,3,1594688213,1594688213
136,216183,1909,Delta65,1990.0,2,-5.0,9.0,902,468,434,12,1594674836,1594674836
137,1630598,1908,01DarkDevil,1931.0,1,-5.0,6.0,136,75,61,1,1593646415,1593646415
138,246423,1906,Dobbs351,2108.0,1,-11.0,11.0,1648,884,764,33,1593095716,1593095716
139,2806260,1906,_Ares_傻牛_,1933.0,-1,-4.0,16.0,138,89,49,0,1594306342,1594306342
140,736813,1903,Glokken,1958.0,1,-7.0,8.0,400,225,175,5,1594687761,1594687761
141,367774,1903,VIK_Dench,1903.0,2,-13.0,10.0,641,344,297,8,1594319461,1594319461
142,1435093,1902,Sneaky koala,1915.0,-1,-3.0,19.0,119,80,39,1,1593813166,1593813166
143,452924,1901,JackK,1987.0,2,-5.0,9.0,447,255,192,7,1594672725,1594672725
144,2875949,1898,Galaxy,1898.0,5,-1.0,18.0,53,48,5,1,1593491392,1593491392
145,2309468,1897,RcL | Whocl,1981.0,1,-8.0,7.0,463,243,220,19,1594694598,1594694598
146,1743669,1897,NguoiChoiCoNhieuKyNang,2081.0,-6,-7.0,23.0,338,192,146,1,1594673347,1594673347
